,#,"Country,Other",TotalCases,TotalDeaths,DateTime
0,1,USA,"44,787,462","724,863 ",10/06/21 20:30:05
1,2,India,"33,872,783","449,580 ",10/06/21 20:30:05
2,3,Brazil,"21,499,074","598,871 ",10/06/21 20:30:05
3,4,UK,"8,006,660","137,295 ",10/06/21 20:30:05
4,5,Russia,"7,662,560","212,625 ",10/06/21 20:30:05
5,6,Turkey,"7,327,317","65,373 ",10/06/21 20:30:05
6,7,France,"7,033,755","116,923 ",10/06/21 20:30:05
7,8,Iran,"5,662,458","121,779 ",10/06/21 20:30:05
8,9,Argentina,"5,261,935","115,323 ",10/06/21 20:30:05
9,10,Spain,"4,969,503","86,678 ",10/06/21 20:30:05
10,11,Colombia,"4,964,454","126,455 ",10/06/21 20:30:05
11,12,Italy,"4,689,341","131,157 ",10/06/21 20:30:05
12,13,Germany,"4,278,937","94,467 ",10/06/21 20:30:05
13,14,Indonesia,"4,223,094","142,413 ",10/06/21 20:30:05
14,15,Mexico,"3,691,924","279,894 ",10/06/21 20:30:05
15,16,Poland,"2,914,962","75,774 ",10/06/21 20:30:05
16,17,South Africa,"2,907,619","87,922 ",10/06/21 20:30:05
17,18,Philippines,"2,622,917","38,828 ",10/06/21 20:30:05
18,19,Ukraine,"2,482,518","57,526 ",10/06/21 20:30:05
19,20,Malaysia,"2,294,457","26,876 ",10/06/21 20:30:05
20,21,Peru,"2,180,149","199,520 ",10/06/21 20:30:05
21,22,Iraq,"2,016,623","22,440 ",10/06/21 20:30:05
22,23,Netherlands,"2,013,425","18,194 ",10/06/21 20:30:05
23,24,Japan,"1,706,675","17,789 ",10/06/21 20:30:05
24,25,Czechia,"1,696,016","30,485 ",10/06/21 20:30:05
25,26,Thailand,"1,667,097","17,305 ",10/06/21 20:30:05
26,27,Chile,"1,658,444","37,512 ",10/06/21 20:30:05
27,28,Canada,"1,643,420","28,050 ",10/06/21 20:30:05
28,29,Bangladesh,"1,560,155","27,635 ",10/06/21 20:30:05
29,30,Romania,"1,303,900","38,260 ",10/06/21 20:30:05
30,31,Israel,"1,298,589","7,862 ",10/06/21 20:30:05
31,32,Pakistan,"1,253,868","27,986 ",10/06/21 20:30:05
32,33,Belgium,"1,253,587","25,640 ",10/06/21 20:30:05
33,34,Sweden,"1,156,248","14,848 ",10/06/21 20:30:05
34,35,Portugal,"1,072,537","18,008 ",10/06/21 20:30:05
35,36,Serbia,"981,329","8,531 ",10/06/21 20:30:05
36,37,Morocco,"936,963","14,390 ",10/06/21 20:30:05
37,38,Cuba,"904,108","7,703 ",10/06/21 20:30:05
38,39,Kazakhstan,"896,162","11,389 ",10/06/21 20:30:05
39,40,Switzerland,"846,325","11,125 ",10/06/21 20:30:05
40,41,Jordan,"828,572","10,762 ",10/06/21 20:30:05
41,42,Hungary,"825,799","30,253 ",10/06/21 20:30:05
42,43,Vietnam,"822,687","20,098 ",10/06/21 20:30:05
43,44,Nepal,"799,615","11,192 ",10/06/21 20:30:05
44,45,Austria,"753,832","11,061 ",10/06/21 20:30:05
45,46,UAE,"737,229","2,107 ",10/06/21 20:30:05
46,47,Tunisia,"708,788","24,966 ",10/06/21 20:30:05
47,48,Greece,"668,811","15,012 ",10/06/21 20:30:05
48,49,Lebanon,"626,926","8,363 ",10/06/21 20:30:05
49,50,Georgia,"623,830","9,134 ",10/06/21 20:30:05
50,51,Guatemala,"570,453","13,730 ",10/06/21 20:30:05
51,52,Belarus,"549,817","4,228 ",10/06/21 20:30:05
